Raise-350,Fold,Raise-150,Fold,Raise-150,Raise-150,Fold,Raise-150,Bet-50,Fold,Fold,Fold,Raise-150,Check,Fold,Raise-150,Check,Check,Check,Raise-150,Check,All in,Fold,Raise-200,Fold,Raise-150,Bet-50,Raise-150,Fold,Raise-150,0.3,0.7
Call-50,Fold,All in,Fold,Fold,Call-150,Raise-1800,All in,Call-150,Fold,Call-50,Fold,Call-50,Fold,Raise-350,Fold,Call-150,Check,Check,Check,Call-150,Check,All in,Call-50,Fold,Call-50,Fold,Fold,Fold,Fold,0.4,0.2
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Fold,Call-100,Check,Bet-250,Fold,Fold,Fold,Fold,Fold,Call-100,Check,Fold,Fold,Fold,Fold,Call-50,Fold,Fold,Call-100,Bet-300,Fold,0.75,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Call-175,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Fold,Fold,Raise-600,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-150,Fold,Fold,Fold,Fold,Check,Check,Bet-100,Fold,0.9,0.2
Check,Check,Check,Fold,Fold,Raise-150,Check,Check,Check,Raise-150,Fold,Raise-150,Fold,Raise-150,Bet-200,Raise-200,Fold,Fold,Call-50,Check,Fold,Raise-150,Check,Check,Bet-150,Raise-150,Bet-150,Check,Check,Fold,0.3,0.7
Check,Bet-50,Call-50,Fold,Call-100,Check,Check,Check,Fold,Fold,Call-150,Fold,Call-50,Fold,Fold,Raise-1250,Call-25,Check,Bet-100,Call-150,Check,Check,Call-150,Call-150,Fold,Call-50,Check,Fold,Call-50,Check,0.4,0.2
Raise-1250,Fold,Call-50,Check,Check,Check,Raise-150,Check,Fold,Raise-150,Check,Check,Bet-400,Raise-150,Check,Check,Fold,Raise-150,Bet-50,Check,Check,Check,Check,Fold,Raise-400,Check,Check,Check,Raise-400,Raise-400,0.3,0.7
Call-50,Fold,Call-50,Fold,Check,Check,Check,Check,Fold,Call-150,Check,Check,Fold,Call-150,Check,Bet-100,Call-150,Fold,Call-50,Check,Check,Check,Fold,Fold,Fold,Call-50,Check,Check,Check,Call-150,0.4,0.2
Fold,Raise-100,Call-50,Check,Check,Check,Fold,Fold,Call-150,Check,Fold,Call-150,Fold,Call-50,Check,Check,Check,Call-50,Fold,Fold,Fold,Call-25,Check,Check,Check,Call-150,Fold,Call-150,Raise-250,Raise-700,0.4,0.5
Fold,Raise-150,Fold,Raise-150,Bet-100,Call-150,Bet-250,Call-450,Bet-800,Fold,Call-175,Bet-200,Raise-100,Bet-50,Raise-100,Check,Check,Check,Raise-100,Fold,Raise-100,Raise-400,Bet-300,Check,Bet-300,Call-50,Fold,Fold,Call-25,Check,0.3,0.7
Fold,Fold,Fold,Call-150,Bet-150,Fold,Call-150,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-150,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,0.75,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Raise-100,Fold,Call-50,Fold,Call-50,Call-50,Check,Fold,Call-50,Check,Check,Check,Raise-300,Raise-200,Call-300,Call-300,Check,Fold,Raise-100,Fold,Call-5800,Call-50,Check,Check,Bet-50,Fold,Fold,Fold,Raise-300,Call-2250,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Raise-450,Fold,Fold,Fold,0.9,0.2
Check,Fold,Raise-400,Bet-300,Raise-150,Raise-150,Fold,Raise-150,Raise-2400,Check,Fold,Check,Check,Fold,Fold,Raise-100,Raise-100,Bet-100,Raise-100,Raise-100,Call-100,Check,Fold,Fold,Fold,Raise-400,Fold,Call-50,Bet-50,Fold,0.3,0.7
Fold,Raise-100,Fold,Fold,Fold,Raise-200,Bet-250,Call-4575,Fold,Call-50,Fold,Call-50,Fold,Call-50,Check,Fold,Raise-200,Fold,Call-50,Fold,Raise-200,Bet-250,Fold,Check,Check,Fold,Call-75,Check,Check,Check,0.4,0.5
Check,Fold,Call-25,Fold,Fold,Call-50,Bet-100,Raise-100,Call-100,Check,Fold,Fold,Call-25,Check,Bet-100,Raise-100,Check,Check,Check,Fold,Raise-100,Call-100,Check,Check,Fold,Check,Check,Check,Check,Fold,0.3,0.7
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Bet-50,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-175,0.9,0.1
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-150,Check,0.9,0.2
Raise-200,Check,Bet-200,Call-50,Check,Check,Check,Fold,Call-100,Call-50,Check,Fold,Call-100,Bet-200,Raise-100,Bet-100,Fold,Raise-200,Check,Check,Check,Fold,Call-50,Call-125,Check,Check,Check,Raise-100,Call-75,Check,0.4,0.5
Check,Check,Check,Raise-100,Bet-50,Check,Bet-50,Raise-100,Check,Fold,Call-50,Check,Fold,Fold,Raise-100,Raise-100,Call-100,Check,Check,Check,Raise-100,Call-125,Check,Check,Check,Call-25,Fold,Raise-100,Bet-150,Raise-100,0.3,0.7
Check,Check,Fold,Raise-100,Call-100,Bet-400,Raise-150,Fold,Fold,Fold,Raise-100,Call-100,Bet-100,Call-100,Bet-200,Bet-750,Raise-100,Bet-100,Fold,Call-50,Fold,Raise-100,Fold,Raise-100,Check,Check,Check,Check,Check,Check,0.3,0.7
Raise-200,Check,Bet-300,Raise-200,Fold,Call-50,Fold,Fold,Call-50,Raise-200,Raise-200,Call-200,Fold,Call-50,Call-100,Fold,Fold,Fold,All in,Call-100,Check,Check,Check,Call-50,Check,Check,Check,Check,Check,Check,0.4,0.5
Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-200,Fold,Fold,All in,Check,Bet-100,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Call-25,Check,Check,Check,Raise-400,Fold,Raise-100,Fold,Call-50,Fold,Call-50,Check,Check,Fold,Call-25,Fold,Raise-400,Check,Check,Check,Raise-100,Call-100,Bet-100,Raise-100,Call-150,Check,Check,Check,Call-25,Fold,0.3,0.7
Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Fold,Call-100,Fold,Raise-100,Raise-100,Check,Bet-100,Fold,Raise-150,Fold,Raise-200,Fold,Fold,Fold,Raise-100,Fold,Raise-200,Bet-250,Call-100,Check,Fold,Fold,Fold,Raise-200,Fold,Fold,Call-50,Fold,Fold,Fold,0.4,0.5
Check,Check,Check,Raise-100,Call-100,Check,Fold,Raise-100,Check,Bet-50,Fold,Fold,Raise-400,Bet-450,Raise-100,Call-100,Bet-150,Raise-100,Fold,Raise-1250,Fold,Raise-100,Raise-150,Check,Check,Check,Raise-150,Fold,Call-25,Fold,0.3,0.7
Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Check,Check,Check,Call-150,Fold,Fold,Raise-150,Fold,Raise-100,All in,Call-50,Fold,Fold,Fold,Call-50,Fold,Raise-100,Fold,Call-150,Check,Check,Check,Fold,Raise-200,Call-300,Check,Check,Bet-650,Call-100,Check,0.4,0.5
Call-50,Fold,Raise-150,Fold,All in,Fold,Raise-100,Fold,Call-50,Fold,Fold,Raise-100,Raise-100,Raise-400,Check,Check,Check,Fold,Raise-100,Check,Check,Check,Fold,Raise-100,Fold,Raise-100,Call-550,Bet-500,Call-50,Check,0.3,0.7
Fold,Fold,Fold,Raise-350,Fold,Fold,Fold,Fold,Raise-450,Fold,Fold,Fold,Fold,Fold,Call-175,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Check,Fold,Raise-1250,Fold,Call-50,Check,Check,Check,Call-100,Check,Check,Fold,Fold,Fold,Call-25,Check,Check,Check,Raise-100,Raise-750,Bet-1350,Call-100,Bet-50,Call-50,Fold,Raise-200,Fold,Raise-100,Raise-200,Check,0.4,0.5
Check,Raise-100,Check,Check,Bet-100,Raise-800,Check,Fold,Fold,Call-50,Check,Check,Check,Call-50,Fold,Raise-100,Check,Fold,Raise-150,Call-25,Fold,Fold,Fold,Raise-100,Call-100,Check,Check,Fold,Call-150,Bet-100,0.3,0.7
Fold,Fold,Raise-600,Check,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Call-75,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Raise-300,Raise-100,Call-50,Fold,Fold,Call-150,Check,Check,Check,Fold,Fold,Raise-100,Call-150,Fold,Raise-100,Check,Check,Check,Call-50,Check,Fold,Fold,Raise-400,Fold,Raise-100,Check,Fold,Raise-100,Check,Check,0.3,0.7
Call-50,Fold,Fold,Fold,Fold,Call-50,Fold,Call-50,Fold,Fold,Raise-150,Call-100,Call-150,Fold,Fold,Raise-100,Bet-50,Check,Bet-50,Call-150,Check,Check,Check,Fold,Call-100,Bet-50,Fold,Call-50,Call-100,Check,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-600,Fold,0.9,0.2
Raise-100,Check,Check,Check,Call-25,Check,Bet-100,Raise-100,Raise-100,Check,Check,Check,Raise-100,Fold,Fold,Raise-150,Check,Check,Check,Fold,Raise-100,Check,Check,Check,Raise-100,Check,Check,Fold,Raise-150,Call-25,0.3,0.7
Check,Check,Check,Fold,Fold,Call-100,Check,Check,Check,Call-100,Fold,Call-50,Fold,Call-125,Check,Check,Check,Raise-1250,Call-100,Check,Check,Check,Call-100,Check,Bet-50,Call-50,Fold,Check,Check,Check,0.4,0.5
Fold,Fold,Raise-2550,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Call-50,Call-50,Raise-100,Fold,Fold,Fold,Fold,0.9,0.1
Check,Check,Call-50,Check,Check,Check,Raise-100,Check,Fold,Raise-100,Fold,Check,Check,Fold,Fold,Raise-400,Check,Check,Check,Raise-100,Bet-50,Call-50,Check,Check,Check,Call-25,Fold,Raise-400,Fold,Raise-100,0.3,0.7
Call-25,Check,Check,Check,Call-100,Bet-50,Call-100,Fold,Call-50,Bet-50,Bet-50,Fold,Fold,Fold,Call-100,Fold,Call-50,Check,Check,Check,Fold,Raise-800,Fold,Call-100,Check,Check,Check,Call-100,Check,Check,0.4,0.5
