Bet-200,Raise-150,Call-50,Raise-250,Fold,Raise-250,Fold,Fold,Raise-250,Raise-250,Raise-250,Bet-100,Bet-150,Call-25,Check,Check,Check,Raise-250,Raise-300,Call-200,Check,Check,Raise-250,Fold,Raise-100,Call-50,Fold,Raise-250,Fold,Raise-250,0.3,0.7
Fold,Call-200,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Check,Check,Check,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-1250,Check,Check,0.75,0.5
Check,Check,Check,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Check,Check,Bet-1000,Fold,Call-25,Check,Check,Check,Call-50,Raise-300,Raise-300,Check,Check,Fold,Raise-100,Raise-100,Raise-300,Raise-300,Fold,Raise-300,Raise-100,Raise-300,Raise-300,Fold,Raise-300,Check,Check,Check,Fold,Fold,0.3,0.7
Fold,Raise-400,Fold,Fold,Fold,Fold,Call-25,Fold,Fold,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Check,Bet-50,Call-50,Fold,Fold,Raise-300,Call-200,Check,Check,0.75,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Call-50,Raise-1250,Fold,Fold,0.9,0.1
Raise-150,Check,Fold,Fold,Raise-150,Raise-400,Check,Check,Check,Raise-150,Check,Fold,Fold,Call-50,Check,Check,Check,Raise-150,Fold,Raise-100,Fold,Raise-150,Call-250,Fold,Call-50,Check,Check,Fold,Raise-150,Raise-150,0.3,0.7
Fold,Call-50,Fold,Call-50,Fold,Call-50,Fold,Call-50,Fold,Call-75,Check,Check,Check,Call-25,Check,Check,Check,Call-150,Fold,Fold,Call-50,Fold,Call-50,Fold,Call-50,Check,Check,Bet-50,Fold,Fold,0.4,0.5
Call-150,Bet-100,Call-50,Fold,Fold,Fold,Call-150,Bet-150,Fold,Call-50,Check,Check,Check,Call-150,Fold,Call-50,Fold,Raise-250,Check,Check,Check,Fold,Call-50,Check,Check,Fold,Fold,Fold,Call-150,Fold,0.4,0.2
Fold,Fold,Fold,Fold,Fold,Raise-100,Check,Check,Check,Fold,Fold,Fold,Call-50,Call-250,Check,Check,Check,Call-50,Raise-350,Bet-400,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Call-50,Call-150,0.75,0.5
Fold,Fold,Call-25,Fold,Raise-150,Raise-150,Bet-300,Raise-150,Check,Check,Check,Fold,Raise-150,Raise-150,Call-150,Check,Fold,Call-50,Check,Check,Bet-200,Fold,Raise-400,Check,Check,Check,Raise-150,Check,Fold,Call-50,0.3,0.7
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-350,Check,Check,Check,Fold,Fold,0.9,0.1
Call-50,Call-150,Check,Check,Bet-100,Fold,Fold,Call-50,Fold,Call-50,Fold,Fold,Fold,Raise-300,Bet-300,Bet-650,Raise-100,Check,Check,Fold,Call-50,Call-150,Fold,Call-50,Fold,Call-50,Call-100,Check,Fold,Check,0.4,0.5
Raise-100,Call-100,Check,Fold,Fold,Call-150,Fold,Call-150,Check,Check,Bet-100,Fold,Call-150,Call-150,Check,Fold,Call-50,Call-50,Check,Check,Fold,Call-150,Bet-200,Bet-400,Fold,Call-150,Bet-200,Call-50,Check,Check,0.4,0.2
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Check,Check,Fold,Call-50,Raise-200,Bet-300,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Raise-450,Bet-650,Fold,Check,Check,Check,Check,Fold,Fold,0.75,0.5
Check,Check,All in,Raise-200,Check,Check,Bet-150,Fold,Fold,Raise-400,Bet-400,Call-50,Check,Check,Check,Raise-250,Check,Fold,Raise-250,Fold,Raise-250,Fold,Check,Check,Check,Fold,Raise-150,Raise-1300,Bet-500,Fold,0.3,0.7
Check,Check,Fold,Call-200,Check,Check,Fold,Fold,Call-50,Fold,Call-50,Fold,Call-50,Check,Check,Check,Fold,Fold,Call-250,Call-200,Bet-450,Fold,Call-50,Fold,Call-50,Check,Fold,Fold,Fold,Call-50,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Raise-1250,Check,Check,Check,Raise-450,Bet-600,Fold,Fold,Fold,0.9,0.1
Check,Fold,Raise-250,Fold,Call-50,Check,Check,Check,Fold,Fold,Fold,Call-50,Fold,Raise-400,Bet-350,Raise-250,Check,Check,Bet-200,Raise-250,Bet-100,Call-150,Fold,Fold,Raise-400,Check,Bet-250,Fold,Raise-250,Check,0.3,0.7
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-600,Fold,Fold,Fold,0.9,0.2
Call-50,Check,Check,Fold,Call-50,Raise-300,Call-1125,Fold,Check,Check,Fold,Fold,All in,Fold,Fold,Fold,Raise-200,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.75,0.5
Check,Bet-50,Call-50,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Fold,Fold,Fold,Fold,Call-50,Fold,Call-50,Fold,Call-50,Fold,Fold,Fold,Call-4300,Call-50,Fold,Call-50,Check,Check,0.4,0.5
Fold,Fold,Fold,Raise-300,Call-50,Fold,Raise-300,Fold,Raise-300,Fold,Raise-150,Fold,Raise-250,Call-600,Bet-1000,Raise-300,Raise-300,Fold,Fold,Fold,Raise-300,Fold,Call-50,Check,Check,Check,Fold,Raise-300,Fold,Call-50,0.3,0.7
Raise-800,Check,Fold,Fold,Call-6175,Call-50,Fold,Fold,Fold,Fold,Fold,Call-50,Fold,Raise-100,Fold,Fold,Call-50,Bet-100,Call-50,Fold,Fold,Fold,Call-300,Check,Bet-150,Raise-100,Bet-100,Check,Check,Check,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Fold,Raise-300,Fold,Fold,Fold,Raise-300,Fold,Raise-300,Check,Check,Fold,Fold,Call-25,Check,Check,Check,Raise-300,Call-50,Check,Check,Check,Fold,Call-175,Check,Check,Check,Raise-300,Raise-300,Fold,Check,0.3,0.7
Fold,Call-50,Check,Check,Check,Call-50,Fold,Call-150,Check,Check,Check,Fold,Call-300,Call-300,Bet-450,Call-50,Check,Check,Check,Raise-250,Fold,Call-300,Call-200,Fold,Fold,Check,Bet-50,Fold,Call-9050,Call-50,0.4,0.5
Check,Check,Call-25,Fold,Call-50,Raise-300,Fold,Fold,Call-25,Check,Fold,Raise-300,All in,Check,Check,Check,Check,Fold,Raise-450,Bet-350,Raise-450,Check,Fold,Fold,Call-25,Check,Check,Check,Raise-450,Raise-450,0.3,0.7
Check,Check,Check,Fold,Fold,Fold,Call-250,Bet-300,Check,Fold,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Raise-1250,Check,0.9,0.2
Check,Check,Fold,Fold,Call-450,Bet-700,Call-50,Fold,Check,Check,Check,Check,Fold,Call-450,Check,Check,Bet-350,Fold,Fold,Call-25,Check,Check,Check,Call-400,Fold,Call-50,Check,Check,Check,Check,0.4,0.5
Check,Check,Fold,Raise-200,Call-1075,Check,Check,Check,Call-50,Check,Check,Check,Raise-400,Bet-300,Check,Check,Check,Check,Call-25,Check,Check,Check,Raise-400,Bet-300,Raise-450,Bet-300,Bet-500,Bet-600,Fold,Fold,0.3,0.7
Check,Check,Fold,Call-450,Call-300,Call-500,Raise-3350,Raise-100,Bet-50,Bet-200,Call-300,Bet-1100,Fold,Call-400,Check,Fold,Raise-100,Raise-1200,Fold,Fold,Raise-800,Check,Fold,Call-50,Check,Check,Fold,Call-25,Check,Check,0.4,0.5
Raise-400,Raise-400,Check,Fold,Raise-200,Fold,Raise-1250,Raise-400,Fold,Raise-400,Call-400,Check,Bet-550,Check,Check,Check,Fold,Fold,Call-50,Check,Check,Check,Raise-400,Call-400,Check,Check,Bet-550,Raise-150,Fold,Raise-450,0.3,0.7
Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,0.9,0.2
Raise-800,Check,Check,Fold,Call-50,Fold,Fold,Call-450,Bet-250,Call-50,Fold,Fold,Call-50,Check,Check,Check,Call-50,Fold,Fold,Fold,Call-50,Check,Check,Check,Call-50,Bet-50,Fold,Call-450,Fold,Raise-100,0.4,0.5
Check,Fold,Fold,Fold,Raise-400,Call-50,Check,Check,Check,Fold,Fold,Raise-400,Call-50,Check,Check,Check,Check,Check,Fold,Fold,Raise-400,Bet-400,Raise-450,Fold,Call-50,Check,Fold,Fold,Raise-400,Bet-250,0.3,0.7
Check,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,0.9,0.2
Fold,Call-450,Check,Check,Check,Raise-100,Fold,Fold,Fold,Raise-800,Bet-1150,Fold,Check,Check,Check,Check,Call-25,Fold,Call-400,Check,Bet-500,Raise-100,Fold,Call-50,Check,Check,Bet-50,Fold,Fold,Fold,0.4,0.5
Check,Check,Check,Call-50,Bet-50,Raise-100,All in,Raise-400,Call-400,Check,Fold,Fold,Call-25,Check,Check,Check,Fold,Raise-400,Check,Check,Fold,Fold,Fold,Raise-400,Fold,Fold,Raise-150,Raise-400,Check,Check,0.3,0.7
Call-50,Check,Check,Check,Check,Check,Check,Check,Raise-400,Raise-400,Raise-400,Call-200,Bet-450,Fold,Raise-400,Call-50,Check,Check,Bet-50,Raise-150,Fold,Raise-450,Raise-450,Raise-400,Bet-800,Raise-250,Call-25,Check,Check,Check,0.3,0.7
Call-50,Check,Check,Check,Fold,Fold,Call-400,Fold,Fold,Fold,Call-50,Check,Check,Fold,Call-50,Fold,Fold,Fold,Call-450,Fold,Call-50,Fold,Check,Check,Check,Check,Fold,Call-450,Fold,Call-50,0.4,0.5
Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Raise-450,Bet-450,Raise-200,Fold,Raise-450,Raise-450,Check,Check,Check,Fold,Fold,Raise-450,Raise-500,Check,Check,Check,Check,Fold,Call-50,Raise-500,Bet-400,Fold,Call-25,Call-100,Check,Fold,Raise-5600,Raise-450,Fold,Fold,0.3,0.7
Fold,Fold,Fold,Call-50,Check,Check,Fold,Fold,Fold,Fold,Call-50,Check,Check,Check,Fold,Fold,Call-500,Fold,Raise-100,Check,Check,Fold,Raise-100,Bet-100,Fold,All in,Fold,Fold,Fold,Call-450,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Raise-400,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-300,Fold,Fold,Fold,Fold,0.9,0.2
Raise-450,Raise-450,Check,Check,Check,Fold,Fold,Call-25,Check,Bet-50,Raise-450,Bet-350,Raise-450,Fold,Call-25,Check,Check,Check,Raise-450,Raise-450,Fold,Fold,Call-25,Bet-50,Raise-450,Raise-450,Fold,Check,Check,Fold,0.3,0.7
Check,Bet-250,Call-50,Fold,Check,Check,Fold,Fold,Fold,Call-50,Fold,Check,Check,Check,Check,Fold,Call-450,Fold,Call-50,Fold,Check,Fold,Fold,Raise-900,Check,Check,Check,Call-50,Check,Fold,0.4,0.5
Raise-400,Check,Check,Bet-350,Call-50,Fold,Raise-150,Check,Fold,Call-25,Check,Check,Check,Call-50,Fold,Raise-450,Check,Check,Check,Call-50,Check,Fold,Fold,Raise-400,Call-900,Check,Check,Check,Raise-400,Check,0.3,0.7
Fold,Raise-100,Call-50,Call-150,Bet-150,Check,Check,Check,Check,Call-25,Fold,Call-450,Check,Check,Check,Raise-100,Bet-50,Fold,Fold,Call-400,Check,Check,Bet-250,Fold,Fold,Call-400,Fold,Call-50,Check,Check,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Raise-1250,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-200,Check,Bet-200,Fold,Check,Check,Bet-50,0.9,0.2
Check,Fold,Fold,Fold,Raise-400,Raise-400,Bet-600,Check,Check,Check,Check,Fold,Fold,Raise-400,Bet-150,Fold,Fold,Raise-400,Fold,Call-50,Check,Fold,Call-50,Check,Fold,Call-25,Check,Check,Check,Call-50,0.3,0.7
Raise-100,Check,Check,Fold,Fold,Call-50,Fold,Fold,Fold,Fold,Raise-100,Bet-200,Check,Check,Check,Check,Call-25,Check,Check,Check,Call-400,Fold,Fold,Fold,Fold,Call-400,Fold,Raise-100,Check,Check,0.4,0.5
Check,Check,Raise-400,Raise-200,Fold,Fold,Raise-400,Raise-400,Bet-200,Call-50,Check,Check,Check,Fold,Raise-400,Raise-400,Raise-150,Fold,Fold,Raise-400,Check,Fold,Call-150,Check,Fold,Call-25,Check,Check,Bet-50,Raise-400,0.3,0.7
Fold,Fold,Fold,Call-50,Fold,Fold,Call-400,Bet-250,Call-50,Call-150,Bet-200,Bet-350,Check,Check,Check,Fold,Fold,Call-400,Check,Fold,Call-50,Fold,Fold,Fold,Call-400,Fold,Fold,Check,Check,Check,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Check,Bet-1000,Raise-1250,Raise-100,Raise-400,Raise-400,Bet-600,Fold,Call-25,Check,Check,Check,Raise-400,Raise-400,Bet-450,Call-25,Check,Check,Check,Call-50,Raise-450,Fold,Fold,Raise-12900,Fold,Fold,Raise-550,Fold,Call-25,Fold,0.3,0.7
Fold,Call-400,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Call-50,Fold,Fold,Fold,Raise-350,Fold,Call-50,Check,Check,Bet-50,Fold,Call-25,Check,Check,Check,Call-50,Fold,Call-150,0.4,0.5
Check,Check,Check,Check,Fold,Fold,Call-50,Check,Check,Check,Check,Bet-50,Fold,Fold,Call-175,Check,Check,Bet-50,Fold,Call-50,Fold,Call-50,Bet-50,Fold,Raise-550,Bet-250,Fold,Fold,Fold,Fold,0.3,0.7
Call-25,Call-50,Fold,Call-25,Fold,Raise-100,Fold,Fold,Raise-100,Fold,Fold,Call-25,Fold,Raise-200,Raise-1050,Call-1925,Check,Check,Check,Raise-150,Call-50,Check,Check,Check,Check,Fold,Fold,Call-50,Check,Bet-50,0.4,0.5
Raise-500,Raise-2600,Check,Check,Check,Call-50,Fold,Check,Check,Check,Check,Call-25,Bet-50,Raise-550,Check,Check,Check,Fold,Fold,Raise-550,Raise-100,Check,Check,Check,Call-25,Check,Check,Check,Fold,Raise-550,0.3,0.7
Call-50,Call-100,Check,Check,Check,Check,Check,Check,Bet-50,Fold,Call-50,Fold,Raise-150,Fold,Fold,Fold,Fold,All in,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Check,Check,Check,Check,0.4,0.5
Check,Bet-100,Call-25,Fold,Raise-550,Fold,Fold,Raise-550,Fold,Fold,Raise-550,Call-25,Check,Check,Check,Raise-550,Bet-600,Call-25,Check,Check,Check,Raise-550,Fold,Fold,Raise-600,Raise-100,Raise-100,Check,Check,Bet-50,0.3,0.7
Raise-100,Fold,Fold,Call-50,Fold,Call-75,Check,Check,Fold,Fold,Call-50,Fold,Fold,Fold,Raise-150,Check,Check,Check,Fold,All in,Check,Check,Fold,Fold,Call-50,Fold,Raise-100,Fold,Call-50,Fold,0.4,0.5
Raise-200,Fold,Raise-600,Check,Check,Fold,Call-25,Call-150,Check,Check,Check,Fold,Fold,Call-25,Check,Bet-50,Raise-600,Fold,Call-25,Fold,Raise-600,Raise-100,Fold,Raise-600,Raise-100,Check,Check,Check,Fold,Raise-600,0.3,0.7
Fold,Call-50,Call-100,Check,Check,Check,Fold,Fold,Call-50,Check,Fold,Fold,Fold,Fold,Call-25,Check,Check,Check,Call-50,Check,Check,Check,Fold,Fold,Call-50,Fold,Raise-100,Fold,Fold,Fold,0.4,0.5
Check,Bet-100,Fold,Raise-600,Fold,Call-50,Check,Check,Check,Check,Check,Check,Check,Fold,Raise-600,Fold,Call-25,Fold,Raise-600,Check,Check,Check,Fold,Raise-600,Raise-150,Raise-600,Fold,Fold,Raise-600,Call-25,0.3,0.7
Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Raise-100,Check,Bet-50,Fold,Fold,Fold,Fold,Raise-350,Call-25,Fold,Fold,Check,Fold,Fold,Call-50,Fold,Check,Fold,Fold,Call-50,0.4,0.5
Check,Check,Fold,Raise-1250,Raise-1950,Fold,Raise-600,Call-25,Fold,Fold,Call-175,Check,Check,Bet-650,Call-25,Bet-50,Raise-650,Raise-600,Call-25,Bet-50,Fold,Fold,Call-25,Fold,Raise-650,Fold,Call-25,Fold,Fold,Check,0.3,0.7
Raise-150,Fold,Raise-100,Raise-150,Fold,Call-50,Fold,Call-150,Check,Check,Check,Call-25,Check,Bet-50,Call-50,Fold,Fold,Fold,Call-50,Fold,Fold,Fold,Raise-100,Bet-100,Raise-200,Fold,Call-50,Fold,Fold,Call-50,0.4,0.5
Fold,Call-50,Check,Fold,Raise-200,Fold,Raise-650,Raise-300,Fold,Raise-650,Bet-500,Call-50,Check,Fold,Call-25,Fold,Raise-650,Call-175,Check,Check,Check,Fold,Raise-650,Fold,Call-175,Bet-200,Bet-400,Call-50,Fold,Call-50,0.3,0.7
Call-150,Fold,Raise-100,Check,Check,Bet-250,Raise-100,Fold,Raise-600,Fold,Call-50,Fold,Check,Check,Check,Check,Fold,Call-50,Check,Check,Check,Raise-350,Fold,Call-50,Bet-50,Fold,Fold,Call-50,Check,Check,0.4,0.5
Call-25,Fold,Raise-650,All in,Call-25,Check,Check,Check,Raise-600,Check,Check,Check,Check,Call-25,Fold,Raise-600,Check,Check,Fold,Fold,Raise-600,Check,Check,Check,Check,Raise-100,Raise-500,Call-1275,Check,Fold,0.3,0.7
Raise-250,Raise-1600,Bet-3450,Fold,Fold,Raise-100,Check,Check,Check,Raise-100,Fold,Raise-100,Check,Check,Call-50,Fold,All in,Raise-200,Fold,Raise-100,Call-250,Check,Check,Check,Fold,Raise-100,Check,Check,Check,Fold,0.4,0.5
Call-25,Call-100,Check,Check,Check,Fold,Fold,Call-25,Call-100,Check,Check,Bet-50,Raise-550,Fold,Call-25,Fold,Raise-550,Raise-300,Check,Check,Check,Fold,Raise-550,Call-50,Check,Check,Check,Call-175,Bet-50,Raise-550,0.3,0.7
Fold,Raise-550,Call-25,Fold,Call-50,Check,Check,Check,Fold,Fold,Call-50,Fold,Fold,Call-25,Check,Check,Check,Raise-550,Call-200,Fold,Fold,Call-25,Fold,Raise-550,Check,Check,Check,Check,Call-25,Fold,0.3,0.7
Fold,Raise-200,Fold,Fold,Raise-100,Call-25,Check,Check,Check,Call-50,Fold,Raise-600,Bet-750,Raise-300,Fold,Check,Check,Check,Check,Fold,Raise-100,Raise-100,Fold,Call-50,Check,Check,Check,Raise-100,Fold,Call-50,0.4,0.5
Bet-650,Check,Check,Check,Check,Call-25,Check,Check,Check,Raise-550,Call-50,Bet-50,Raise-600,Raise-550,Raise-650,Fold,Call-175,Bet-200,Call-25,Fold,Raise-550,Raise-350,Raise-3050,All in,Raise-100,Check,Check,Fold,Raise-300,Fold,0.3,0.7
Call-25,Raise-100,Fold,Fold,Fold,Call-25,Fold,Raise-100,Call-25,Call-25,Call-25,Raise-1250,Fold,Call-25,Fold,Call-25,Fold,Call-175,Call-200,Bet-450,Fold,Fold,Raise-100,Call-25,Call-25,Call-25,Raise-100,Raise-300,Call-25,Fold,0.3,0.7
Call-25,Fold,Fold,Fold,Call-25,Call-25,Fold,Fold,Raise-600,Call-25,Raise-150,Raise-100,Fold,Call-25,Fold,Call-25,Call-175,Fold,Raise-150,Check,Bet-150,Fold,Call-25,Fold,Fold,Call-25,Fold,Call-25,Fold,Raise-600,0.3,0.7
Call-25,Call-25,Fold,Call-25,Fold,Raise-100,Fold,Call-25,Fold,Raise-100,Check,Check,Fold,Fold,Fold,Raise-150,Fold,Raise-150,Call-25,Call-25,Call-175,Raise-200,Bet-400,Fold,Fold,Fold,Call-25,Raise-150,Call-25,Fold,0.3,0.7
Check,Bet-650,Fold,Call-25,Fold,Call-25,Fold,Call-25,Call-25,Call-25,Fold,Call-25,Fold,Fold,Fold,Call-25,Fold,Call-25,Raise-450,Fold,Call-25,Call-25,Call-25,Fold,Fold,Call-25,Fold,Call-25,Fold,Fold,0.3,0.7
Call-50,Fold,Raise-300,Raise-400,Fold,Raise-150,Check,Check,Check,Raise-150,Check,Check,Fold,Raise-150,Check,Fold,Raise-150,Call-150,Fold,Call-150,Check,Bet-200,Bet-650,Fold,Raise-400,Call-1650,Fold,Raise-400,Fold,Raise-100,0.3,0.7
Raise-100,Fold,Call-50,Fold,Fold,Call-100,Check,Check,Check,Fold,Call-150,Bet-100,Raise-300,Raise-3600,Call-50,Fold,Call-50,Fold,Call-50,Fold,Fold,Fold,Call-100,Fold,Call-100,Fold,Call-50,Fold,Raise-100,Call-50,0.4,0.5
Fold,Fold,Fold,Call-150,Check,Check,Check,Call-150,Check,Bet-300,Fold,Call-150,Raise-600,Fold,Call-50,Fold,Fold,Fold,Fold,Call-100,Fold,Call-100,Fold,Call-100,Fold,Call-50,Fold,Fold,Call-175,Bet-200,0.4,0.2
Call-75,Bet-200,Fold,Call-200,Call-200,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-200,Raise-1850,All in,Fold,Fold,Fold,Raise-350,Call-2200,Check,Fold,Fold,Fold,Call-200,Fold,Fold,All in,Fold,Fold,0.75,0.5
Raise-100,Bet-100,Raise-100,Raise-2500,All in,Fold,Fold,Call-200,Fold,Raise-150,Fold,Fold,Raise-150,Fold,Raise-150,Call-150,Check,Check,Fold,Check,Check,Check,Check,Fold,Raise-200,Check,Check,Check,Raise-150,Check,0.3,0.7
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Fold,Fold,Fold,0.9,0.1
Fold,Call-100,Bet-150,Fold,All in,Raise-300,Check,Fold,Call-50,Check,Check,Check,Call-50,Fold,Raise-100,Call-100,Check,Check,Check,Fold,Call-25,Check,Fold,Call-150,Check,Check,Check,Raise-300,Fold,Fold,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,0.9,0.2
Fold,Fold,Fold,Call-150,Call-150,Check,Bet-200,Call-50,Check,Check,Check,Raise-300,Fold,Call-150,Check,Check,Check,Call-50,Fold,Call-150,Check,Check,Check,Fold,Call-50,Fold,Fold,Call-25,Check,Check,0.4,0.2
Check,Call-50,Fold,Raise-150,Check,Check,Check,Raise-150,Call-150,Bet-150,Fold,Fold,Call-50,Check,Check,Check,Call-200,Fold,Fold,Raise-150,Fold,Raise-150,Call-150,Fold,Raise-250,Raise-1600,All in,Call-25,Check,Check,0.3,0.7
Fold,Fold,Fold,Call-50,Bet-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-100,Raise-500,Call-1275,Check,Fold,Fold,Fold,Call-50,Call-150,Check,Fold,Fold,Check,Check,Check,Check,0.75,0.5
Call-200,Fold,Fold,Call-150,Fold,Call-150,Raise-600,Call-1800,Bet-2800,All in,Call-50,Fold,Check,Check,Check,Bet-50,Fold,Call-200,Call-100,Fold,Call-200,Fold,Call-50,Check,Check,Check,Call-50,Check,Check,Check,0.4,0.2
Fold,Raise-200,Raise-200,Bet-100,Bet-150,Raise-200,Bet-300,Fold,Check,Check,Check,Check,Raise-200,Check,Bet-200,Bet-400,Raise-200,Fold,Fold,Raise-200,Check,Check,Check,Raise-150,Check,Bet-300,Fold,Fold,Fold,Raise-400,0.3,0.7
Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-1250,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Fold,Fold,Call-50,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Fold,All in,Call-200,Check,Check,Check,Call-150,Check,Fold,Call-50,Fold,Check,Check,Check,Check,Call-25,Check,Check,Check,Call-400,Fold,Fold,Call-200,Check,Check,Check,Call-50,Bet-50,Check,Check,0.4,0.2
Call-50,Call-175,Check,Call-200,Call-400,Fold,Fold,Fold,Fold,Fold,Call-50,Check,Check,Check,Call-50,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Check,0.75,0.5
Call-50,Fold,Raise-200,Check,Check,Check,Check,Check,Fold,Call-25,Check,Check,Check,Raise-200,Raise-200,Check,Fold,Raise-200,Fold,Raise-200,Bet-100,Check,Bet-50,Call-25,Check,Check,Check,Raise-200,Fold,Raise-200,0.3,0.7
Check,Fold,Call-200,Bet-350,All in,Call-200,Fold,Call-50,Fold,Check,Check,Check,Check,Fold,Fold,Call-50,Check,Fold,Call-200,Call-300,Bet-300,Call-50,Raise-600,Call-850,Call-1700,Raise-4350,Fold,Call-50,Bet-50,Call-200,0.4,0.2
Call-50,Check,Bet-50,Raise-200,Call-300,Check,Fold,Fold,Raise-400,Check,Check,Check,Call-50,Check,Fold,Raise-200,Check,Check,Check,Check,Check,Check,Check,Raise-100,Check,Check,Check,Raise-400,Fold,Raise-200,0.3,0.7
Check,Check,Call-50,Check,Check,Check,Call-75,Check,Check,Check,Fold,Call-200,Check,Check,Check,Call-200,Fold,Fold,Fold,Call-200,Call-300,Call-1250,Call-3975,Call-300,Bet-300,Call-50,Fold,Check,Check,Check,0.4,0.2
